u,theta_d,rho,vel
44,0.001892794,0.000106933,16.66666667
44.1,0.001915545,0.000113756,16.66666667
44.2,0.001934461,9.46E-05,16.66666667
44.3,0.001959803,0.000126706,16.66666667
44.4,0.001978888,9.54E-05,16.66666667
44.5,0.002002875,0.000119939,16.66666667
44.6,0.002024914,0.000110191,16.66666667
44.7,0.002045901,0.000104936,16.66666667
44.8,0.002070199,0.00012149,16.66666667
44.9,0.00208949,9.65E-05,16.66666667
45,0.002115011,0.000127606,16.66666667
45.1,0.002135378,0.000101835,16.66666667
45.2,0.00215915,0.000118858,16.66666667
45.3,0.00218251,0.000116798,16.66666667
45.4,0.002201249,9.37E-05,16.66666667
45.5,0.002229565,0.000141576,16.66666667
45.6,0.002249329,9.88E-05,16.66666667
45.7,0.002274053,0.000123618,16.66666667
45.8,0.00229587,0.000109083,16.66666667
45.9,0.00231704,0.000105853,16.66666667
46,0.002344503,0.000137311,16.66666667
46.1,0.002362834,9.17E-05,16.66666667
46.2,0.002389588,0.000133769,16.66666667
46.3,0.002410248,0.000103301,16.66666667
46.4,0.002433543,0.000116474,16.66666667
46.5,0.002459518,0.000129872,16.66666667
46.6,0.002478219,9.35E-05,16.66666667
46.7,0.002507366,0.000145735,16.66666667
46.8,0.002526798,9.72E-05,16.66666667
46.9,0.00255102,0.000121109,16.66666667
47,0.002576463,0.000127211,16.66666667
47.1,0.00259437,8.95E-05,16.66666667
47.2,0.002624659,0.000151447,16.66666667
47.3,0.002643755,9.55E-05,16.66666667
47.4,0.002668973,0.000126093,16.66666667
47.5,0.002694642,0.000128344,16.66666667
47.6,0.002713389,9.37E-05,16.66666667
47.7,0.002743626,0.000151184,16.66666667
47.8,0.002760851,8.61E-05,16.66666667
47.9,0.00278729,0.000132194,16.66666667
48,0.002811524,0.000121173,16.66666667
48.1,0.002830977,9.73E-05,16.66666667
48.2,0.00286184,0.000154312,16.66666667
48.3,0.002879255,8.71E-05,16.66666667
48.4,0.002906856,0.000138004,16.66666667
48.5,0.00293004,0.000115921,16.66666667
48.6,0.00294957,9.76E-05,16.66666667
48.7,0.002981207,0.000158182,16.66666667
48.8,0.002998444,8.62E-05,16.66666667
48.9,0.003026366,0.000139608,16.66666667
49,0.003049282,0.000114583,16.66666667
49.1,0.003069981,0.00010349,16.66666667
49.2,0.003100784,0.000154018,16.66666667
49.3,0.003117861,8.54E-05,16.66666667
49.4,0.003147526,0.000148324,16.66666667
49.5,0.003169694,0.00011084,16.66666667
49.6,0.003190861,0.000105833,16.66666667
49.7,0.003220857,0.000149978,16.66666667
49.8,0.00323793,8.54E-05,16.66666667
49.9,0.003268903,0.000154864,16.66666667
50,0.003290342,0.000107191,16.66666667
50.1,0.003312352,0.000110054,16.66666667
50.2,0.003341761,0.00014704,16.66666667
50.3,0.003358493,8.37E-05,16.66666667
50.4,0.003389175,0.000153411,16.66666667
50.5,0.003410863,0.00010844,16.66666667
50.6,0.003433369,0.000112527,16.66666667
50.7,0.003463866,0.000152486,16.66666667
50.8,0.003480331,8.23E-05,16.66666667
50.9,0.003511261,0.000154648,16.66666667
51,0.003531711,0.000102247,16.66666667
51.1,0.003553898,0.000110934,16.66666667
51.2,0.003584234,0.000151683,16.66666667
51.3,0.003601036,8.40E-05,16.66666667
51.4,0.003632494,0.000157289,16.66666667
51.5,0.003652634,0.000100701,16.66666667
51.6,0.003676131,0.000117482,16.66666667
51.7,0.003706353,0.000151108,16.66666667
51.8,0.003722523,8.09E-05,16.66666667
51.9,0.003754521,0.000159989,16.66666667
52,0.003774653,0.000100656,16.66666667
52.1,0.003797852,0.000115993,16.66666667
52.2,0.00382739,0.000147692,16.66666667
52.3,0.003844471,8.54E-05,16.66666667
52.4,0.00387641,0.000159692,16.66666667
52.5,0.003896266,9.93E-05,16.66666667
52.6,0.003920088,0.000119111,16.66666667
52.7,0.003949053,0.000144821,16.66666667
52.8,0.003965314,8.13E-05,16.66666667
52.9,0.003998621,0.000166534,16.66666667
53,0.004018896,0.000101375,16.66666667
53.1,0.004041925,0.000115146,16.66666667
53.2,0.00407126,0.000146672,16.66666667
53.3,0.004087615,8.18E-05,16.66666667
53.4,0.004120562,0.000164735,16.66666667
53.5,0.004140201,9.82E-05,16.66666667
53.6,0.004162654,0.000112266,16.66666667
53.7,0.004192101,0.000147234,16.66666667
53.8,0.004209133,8.52E-05,16.66666667
53.9,0.00424212,0.000164933,16.66666667
54,0.004261186,9.53E-05,16.66666667
54.1,0.004282883,0.000108484,16.66666667
54.2,0.004312412,0.000147642,16.66666667
54.3,0.004329872,8.73E-05,16.66666667
54.4,0.004362155,0.000161412,16.66666667
54.5,0.004381542,9.69E-05,16.66666667
54.6,0.004404439,0.000114484,16.66666667
54.7,0.004432622,0.000140916,16.66666667
54.8,0.004448585,7.98E-05,16.66666667
54.9,0.004480433,0.00015924,16.66666667
55,0.004501213,0.000103898,16.66666667
55.1,0.004523212,0.000109997,16.66666667
55.2,0.004551563,0.000141754,16.66666667
55.3,0.004567452,7.94E-05,16.66666667
55.4,0.00459855,0.000155492,16.66666667
55.5,0.004619778,0.000106136,16.66666667
55.6,0.004640916,0.000105693,16.66666667
55.7,0.004669498,0.000142906,16.66666667
55.8,0.004686151,8.33E-05,16.66666667
55.9,0.004717047,0.000154479,16.66666667
56,0.004737952,0.000104525,16.66666667
56.1,0.004758767,0.000104073,16.66666667
56.2,0.004786873,0.000140527,16.66666667
56.3,0.004799973,6.55E-05,16.66666667
56.4,0.004811894,5.95E-05,16.66666667
56.5,0.004841352,0.000146829,16.66666667
56.6,0.004877296,0.000179128,16.66666667
56.7,0.004905591,0.000141314,16.66666667
56.8,0.004921427,7.92E-05,16.66666667
56.9,0.004950896,0.000147333,16.66666667
57,0.004973143,0.000111231,16.66666667
57.1,0.004993783,0.000103196,16.66666667
57.2,0.005023153,0.000146833,16.66666667
57.3,0.005038392,7.62E-05,16.66666667
57.4,0.005067315,0.000144621,16.66666667
57.5,0.005089749,0.000112173,16.66666667
57.6,0.005109354,9.80E-05,16.66666667
57.7,0.005137179,0.000139116,16.66666667
57.8,0.005152302,7.56E-05,16.66666667
57.9,0.005180429,0.000140615,16.66666667
58,0.005202164,0.000108669,16.66666667
58.1,0.005219943,8.89E-05,16.66666667
58.2,0.005248606,0.000143319,16.66666667
58.3,0.005263518,7.46E-05,16.66666667
58.4,0.005289981,0.000132309,16.66666667
58.5,0.005311365,0.000106909,16.66666667
58.6,0.00532822,8.43E-05,16.66666667
58.7,0.005357363,0.000145717,16.66666667
58.8,0.005372622,7.63E-05,16.66666667
58.9,0.005396898,0.000121372,16.66666667
59,0.005419422,0.000112612,16.66666667
59.1,0.005436955,8.77E-05,16.66666667
59.2,0.005465016,0.000140305,16.66666667
59.3,0.00547938,7.18E-05,16.66666667
59.4,0.005503527,0.00012072,16.66666667
59.5,0.005526846,0.000116583,16.66666667
59.6,0.005544174,8.66E-05,16.66666667
59.7,0.00557141,0.000136184,16.66666667
59.8,0.005585994,7.29E-05,16.66666667
59.9,0.00560954,0.000117716,16.66666667
60,0.005632365,0.000114119,16.66666667
60.1,0.005647275,7.45E-05,16.66666667
60.2,0.005675962,0.00014344,16.66666667
